Graph Size,Start Node,trial,Distance,Parent
20,0,1,{ 0 5 8 15 20 20 14 24 22 13 9 22 25 22 18 31 34 28 34 22 },{  [] [0] [0] [1] [1 10] [2] [2] [3] [3] [0] [1] [3] [5] [6] [6] [7] [7] [8] [8] [9] }
20,0,2,{ 0 5 8 15 20 20 14 24 22 13 9 22 25 22 18 31 34 28 34 22 },{  [] [0] [0] [1] [1 10] [2] [2] [3] [3] [0] [1] [3] [5] [6] [6] [7] [7] [8] [8] [9] }
20,0,3,{ 0 5 8 15 20 20 14 24 22 13 9 22 25 22 18 31 34 28 34 22 },{  [] [0] [0] [1] [1 10] [2] [2] [3] [3] [0] [1] [3] [5] [6] [6] [7] [7] [8] [8] [9] }
20,0,4,{ 0 5 8 15 20 20 14 24 22 13 9 22 25 22 18 31 34 28 34 22 },{  [] [0] [0] [1] [1 10] [2] [2] [3] [3] [0] [1] [3] [5] [6] [6] [7] [7] [8] [8] [9] }
20,0,5,{ 0 5 8 15 20 20 14 24 22 13 9 22 25 22 18 31 34 28 34 22 },{  [] [0] [0] [1] [1 10] [2] [2] [3] [3] [0] [1] [3] [5] [6] [6] [7] [7] [8] [8] [9] }
20,1,1,{ 5 0 13 10 15 20 19 19 17 18 4 17 25 27 23 26 29 23 29 27 },{  [1] [] [0] [1] [1 10] [11] [2] [3] [3] [0] [1] [3] [5] [6] [6] [7] [7] [8] [8] [9] }
20,1,2,{ 5 0 13 10 15 20 19 19 17 18 4 17 25 27 23 26 29 23 29 27 },{  [1] [] [0] [1] [1 10] [11] [2] [3] [3] [0] [1] [3] [5] [6] [6] [7] [7] [8] [8] [9] }
20,1,3,{ 5 0 13 10 15 20 19 19 17 18 4 17 25 27 23 26 29 23 29 27 },{  [1] [] [0] [1] [1 10] [11] [2] [3] [3] [0] [1] [3] [5] [6] [6] [7] [7] [8] [8] [9] }
20,1,4,{ 5 0 13 10 15 20 19 19 17 18 4 17 25 27 23 26 29 23 29 27 },{  [1] [] [0] [1] [1 10] [11] [2] [3] [3] [0] [1] [3] [5] [6] [6] [7] [7] [8] [8] [9] }
20,1,5,{ 5 0 13 10 15 20 19 19 17 18 4 17 25 27 23 26 29 23 29 27 },{  [1] [] [0] [1] [1 10] [11] [2] [3] [3] [0] [1] [3] [5] [6] [6] [7] [7] [8] [8] [9] }
20,2,1,{ 8 13 0 22 22 12 6 31 29 21 11 15 17 14 10 38 41 35 41 30 },{  [2] [0] [] [11] [10] [2] [2] [3] [3] [0] [2] [5] [5] [6] [6] [7] [7] [8] [8] [9] }
20,2,2,{ 8 13 0 22 22 12 6 31 29 21 11 15 17 14 10 38 41 35 41 30 },{  [2] [0] [] [11] [10] [2] [2] [3] [3] [0] [2] [5] [5] [6] [6] [7] [7] [8] [8] [9] }
20,2,3,{ 8 13 0 22 22 12 6 31 29 21 11 15 17 14 10 38 41 35 41 30 },{  [2] [0] [] [11] [10] [2] [2] [3] [3] [0] [2] [5] [5] [6] [6] [7] [7] [8] [8] [9] }
20,2,4,{ 8 13 0 22 22 12 6 31 29 21 11 15 17 14 10 38 41 35 41 30 },{  [2] [0] [] [11] [10] [2] [2] [3] [3] [0] [2] [5] [5] [6] [6] [7] [7] [8] [8] [9] }
20,2,5,{ 8 13 0 22 22 12 6 31 29 21 11 15 17 14 10 38 41 35 41 30 },{  [2] [0] [] [11] [10] [2] [2] [3] [3] [0] [2] [5] [5] [6] [6] [7] [7] [8] [8] [9] }
20,3,1,{ 15 10 22 0 25 10 28 9 7 28 14 7 15 36 32 16 19 13 19 37 },{  [1] [3] [5] [] [1 10] [11] [2] [3] [3] [0] [1] [3] [5] [6] [6] [7] [7] [8] [8] [9] }
20,3,2,{ 15 10 22 0 25 10 28 9 7 28 14 7 15 36 32 16 19 13 19 37 },{  [1] [3] [5] [] [1 10] [11] [2] [3] [3] [0] [1] [3] [5] [6] [6] [7] [7] [8] [8] [9] }
20,3,3,{ 15 10 22 0 25 10 28 9 7 28 14 7 15 36 32 16 19 13 19 37 },{  [1] [3] [5] [] [1 10] [11] [2] [3] [3] [0] [1] [3] [5] [6] [6] [7] [7] [8] [8] [9] }
