Graph Size,Start Node,trial,Execution Time,Memory consumed,No of Comparisions,No of Relaxations
20,0,1,71,72,874,19
20,0,2,68,72,874,19
20,0,3,68,72,874,19
20,0,4,65,72,874,19
20,0,5,38,72,874,19
20,1,1,40,72,874,22
20,1,2,40,72,874,22
20,1,3,39,72,874,22
20,1,4,39,72,874,22
20,1,5,40,72,874,22
20,2,1,37,72,874,20
20,2,2,37,72,874,20
20,2,3,38,72,874,20
20,2,4,37,72,874,20
20,2,5,37,72,874,20
20,3,1,40,72,874,21
20,3,2,40,72,874,21
20,3,3,40,72,874,21
20,3,4,40,72,874,21
20,3,5,39,72,874,21
20,4,1,38,72,874,20
20,4,2,38,72,874,20
20,4,3,44,72,874,20
20,4,4,38,72,874,20
20,4,5,38,72,874,20
20,5,1,37,72,874,19
20,5,2,37,72,874,19
20,5,3,37,72,874,19
20,5,4,37,72,874,19
20,5,5,41,72,874,19
20,6,1,62,72,874,20
20,6,2,37,72,874,20
20,6,3,37,72,874,20
20,6,4,37,72,874,20
20,6,5,37,72,874,20
20,7,1,66,72,874,21
20,7,2,39,72,874,21
20,7,3,39,72,874,21
20,7,4,38,72,874,21
20,7,5,39,72,874,21
20,8,1,56,72,874,21
20,8,2,42,72,874,21
20,8,3,39,72,874,21
20,8,4,39,72,874,21
20,8,5,39,72,874,21
20,9,1,36,72,874,19
20,9,2,36,72,874,19
20,9,3,36,72,874,19
20,9,4,36,72,874,19
20,9,5,36,72,874,19
20,10,1,36,72,874,21
20,10,2,37,72,874,21
20,10,3,37,72,874,21
20,10,4,40,72,874,21
20,10,5,44,72,874,21
20,11,1,43,72,874,21
20,11,2,42,72,874,21
20,11,3,42,72,874,21
20,11,4,42,72,874,21
20,11,5,41,72,874,21
20,12,1,44,72,874,19
20,12,2,39,72,874,19
20,12,3,39,72,874,19
20,12,4,40,72,874,19
20,12,5,39,72,874,19
20,13,1,41,72,874,20
20,13,2,43,72,874,20
20,13,3,41,72,874,20
20,13,4,41,72,874,20
20,13,5,41,72,874,20
20,14,1,41,72,874,20
20,14,2,41,72,874,20
20,14,3,40,72,874,20
20,14,4,40,72,874,20
20,14,5,38,72,874,20
20,15,1,40,72,874,21
20,15,2,40,72,874,21
20,15,3,40,72,874,21
20,15,4,40,72,874,21
20,15,5,40,72,874,21
20,16,1,40,72,874,21
20,16,2,40,72,874,21
20,16,3,42,72,874,21
20,16,4,41,72,874,21
20,16,5,42,72,874,21
20,17,1,47,72,874,21
20,17,2,42,72,874,21
20,17,3,43,72,874,21
20,17,4,43,72,874,21
20,17,5,43,72,874,21
20,18,1,43,72,874,21
20,18,2,42,72,874,21
20,18,3,50,72,874,21
20,18,4,47,72,874,21
20,18,5,44,72,874,21
20,19,1,42,72,874,19
20,19,2,41,72,874,19
20,19,3,96,72,874,19
20,19,4,41,72,874,19
20,19,5,41,72,874,19
