Graph Size,Start Node,Trial,Execution Time,Memory consumed,No of Comparisions,No of Relaxations
20,1,0,62,72,874,22
20,1,1,56,72,874,22
20,1,2,55,72,874,22
20,1,3,55,72,874,22
20,1,4,100,72,874,22
20,2,0,51,72,874,20
20,2,1,52,72,874,20
20,2,2,51,72,874,20
20,2,3,52,72,874,20
20,2,4,47,72,874,20
20,3,0,58,72,874,21
20,3,1,50,72,874,21
20,3,2,50,72,874,21
20,3,3,50,72,874,21
20,3,4,60,72,874,21
20,4,0,49,72,874,20
20,4,1,48,72,874,20
20,4,2,48,72,874,20
20,4,3,48,72,874,20
20,4,4,47,72,874,20
20,5,0,57,72,874,19
20,5,1,43,72,874,19
20,5,2,43,72,874,19
20,5,3,43,72,874,19
20,5,4,43,72,874,19
20,6,0,44,72,874,20
20,6,1,44,72,874,20
20,6,2,51,72,874,20
20,6,3,44,72,874,20
20,6,4,44,72,874,20
20,7,0,46,72,874,21
20,7,1,47,72,874,21
20,7,2,46,72,874,21
20,7,3,43,72,874,21
20,7,4,43,72,874,21
20,8,0,43,72,874,21
20,8,1,43,72,874,21
20,8,2,43,72,874,21
20,8,3,43,72,874,21
20,8,4,43,72,874,21
20,9,0,40,72,874,19
20,9,1,44,72,874,19
20,9,2,40,72,874,19
20,9,3,40,72,874,19
20,9,4,40,72,874,19
20,10,0,41,72,874,21
20,10,1,40,72,874,21
20,10,2,42,72,874,21
20,10,3,38,72,874,21
20,10,4,38,72,874,21
20,11,0,40,72,874,21
20,11,1,40,72,874,21
20,11,2,40,72,874,21
20,11,3,40,72,874,21
20,11,4,40,72,874,21
20,12,0,38,72,874,19
20,12,1,66,72,874,19
20,12,2,38,72,874,19
20,12,3,38,72,874,19
20,12,4,38,72,874,19
20,13,0,38,72,874,20
20,13,1,38,72,874,20
20,13,2,38,72,874,20
20,13,3,35,72,874,20
20,13,4,35,72,874,20
20,14,0,35,72,874,20
20,14,1,35,72,874,20
20,14,2,35,72,874,20
20,14,3,35,72,874,20
20,14,4,35,72,874,20
20,15,0,37,72,874,21
20,15,1,37,72,874,21
20,15,2,40,72,874,21
20,15,3,36,72,874,21
20,15,4,35,72,874,21
20,16,0,36,72,874,21
20,16,1,36,72,874,21
20,16,2,36,72,874,21
20,16,3,36,72,874,21
20,16,4,37,72,874,21
20,17,0,34,72,874,21
20,17,1,34,72,874,21
20,17,2,34,72,874,21
20,17,3,33,72,874,21
20,17,4,33,72,874,21
20,18,0,34,72,874,21
20,18,1,34,72,874,21
20,18,2,34,72,874,21
20,18,3,34,72,874,21
20,18,4,37,72,874,21
20,19,0,32,72,874,19
20,19,1,32,72,874,19
20,19,2,32,72,874,19
20,19,3,32,72,874,19
20,19,4,32,72,874,19
20,20,0,23,72,874,0
20,20,1,23,72,874,0
20,20,2,24,72,874,0
20,20,3,23,72,874,0
20,20,4,23,72,874,0
