Graph Size,Start Node,Trial,Execution Time,Memory consumed,No of Comparisions,No of Relaxations
20,1,0,17,112,23,21
20,1,1,11,112,23,21
20,1,2,11,112,23,21
20,1,3,11,112,23,21
20,1,4,10,112,23,21
20,2,0,10,112,23,20
20,2,1,10,112,23,20
20,2,2,10,112,23,20
20,2,3,10,112,23,20
20,2,4,10,112,23,20
20,3,0,11,112,23,19
20,3,1,11,112,23,19
20,3,2,11,112,23,19
20,3,3,10,112,23,19
20,3,4,10,112,23,19
20,4,0,11,112,23,20
20,4,1,10,112,23,20
20,4,2,10,112,23,20
20,4,3,10,112,23,20
20,4,4,15,112,23,20
20,5,0,14,112,23,20
20,5,1,14,112,23,20
20,5,2,14,112,23,20
20,5,3,14,112,23,20
20,5,4,14,112,23,20
20,6,0,13,112,23,20
20,6,1,13,112,23,20
20,6,2,13,112,23,20
20,6,3,13,112,23,20
20,6,4,13,112,23,20
20,7,0,28,112,23,19
20,7,1,13,112,23,19
20,7,2,13,112,23,19
20,7,3,13,112,23,19
20,7,4,13,112,23,19
20,8,0,13,112,23,19
20,8,1,13,112,23,19
20,8,2,13,112,23,19
20,8,3,13,112,23,19
20,8,4,13,112,23,19
20,9,0,13,112,23,20
20,9,1,13,112,23,20
20,9,2,13,112,23,20
20,9,3,13,112,23,20
20,9,4,13,112,23,20
20,10,0,13,112,23,19
20,10,1,13,112,23,19
20,10,2,10,112,23,19
20,10,3,10,112,23,19
20,10,4,10,112,23,19
20,11,0,11,112,23,21
20,11,1,11,112,23,21
20,11,2,10,112,23,21
20,11,3,10,112,23,21
20,11,4,10,112,23,21
20,12,0,11,112,23,20
20,12,1,11,112,23,20
20,12,2,79,112,23,20
20,12,3,11,112,23,20
20,12,4,11,112,23,20
20,13,0,10,112,23,20
20,13,1,10,112,23,20
20,13,2,10,112,23,20
20,13,3,10,112,23,20
20,13,4,10,112,23,20
20,14,0,10,112,23,20
20,14,1,10,112,23,20
20,14,2,10,112,23,20
20,14,3,10,112,23,20
20,14,4,10,112,23,20
20,15,0,10,112,23,19
20,15,1,10,112,23,19
20,15,2,10,112,23,19
20,15,3,10,112,23,19
20,15,4,10,112,23,19
20,16,0,16,112,23,19
20,16,1,14,112,23,19
20,16,2,14,112,23,19
20,16,3,14,112,23,19
20,16,4,14,112,23,19
20,17,0,14,112,23,19
20,17,1,14,112,23,19
20,17,2,14,112,23,19
20,17,3,14,112,23,19
20,17,4,14,112,23,19
20,18,0,14,112,23,19
20,18,1,14,112,23,19
20,18,2,14,112,23,19
20,18,3,14,112,23,19
20,18,4,14,112,23,19
20,19,0,15,112,23,20
20,19,1,15,112,23,20
20,19,2,15,112,23,20
20,19,3,15,112,23,20
20,19,4,15,112,23,20
